"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"

"Year" "Canton" "Population type" "Residence permit" "Sex" "Age class" "Canada"
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Sex - Total" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Man" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "Age class - Total" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "0-4 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "5-9 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "10-14 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "15-19 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "20-24 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "25-29 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "30-34 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "35-39 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "40-44 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "45-49 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "50-54 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "55-59 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "60-64 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "65-69 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "70-74 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "75-79 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "80-84 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "85-89 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "90-94 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "95-99 years" 0
"2016" "Switzerland" "Non permanent resident population" "Settlement permit (C)" "Woman" "100 years or older" 0
"2016" "Switzerland" "Non permanent resident population" "Residence permit with gainful employment (Ci)" "Sex - Total" "Age class - Total" 0
