order,long,lat,group,id,KTNR,lat_coords,long_coords
147,716899,242097,0.1,0,1,47.329521553628354,8.973527701642595
148,716174,240719,0.1,0,1,47.317127293655176,8.964010788164419
149,714863,240431,0.1,0,1,47.314536905640516,8.946801470763413
150,714233,239019,0.1,0,1,47.30183678077274,8.938531495935665
151,713093,238567,0.1,0,1,47.29777129192418,8.92356669595723
152,713619,238139,0.1,0,1,47.29392166540024,8.930471520511254
153,713695,237640,0.1,0,1,47.289433427301894,8.931469173883789
154,713862,237613,0.1,0,1,47.28919057658112,8.93366138422294
155,714007,237888,0.1,0,1,47.291664055365665,8.935564798514223
156,714251,237771,0.1,0,1,47.290611702784936,8.938767781388822
157,714136,237101,0.1,0,1,47.284585404213686,8.937258179419656
158,713715,236789,0.1,0,1,47.28177912438214,8.931731714165682
159,713945,236492,0.1,0,1,47.27910775980365,8.934750925030293
160,713635,236247,0.1,0,1,47.27690410739065,8.93068155283985
161,713314,235463,0.1,0,1,47.269852410609325,8.926467775209153
162,711308,234771,0.1,0,1,47.263628197456505,8.900134755544656
163,711236,235023,0.1,0,1,47.26589481966373,8.899189596210675
164,709500,234553,0.1,0,1,47.261667388221326,8.876400628271544
165,708611,234445,0.1,0,1,47.260695977752206,8.864730378220058
166,708641,233965,0.1,0,1,47.256378594777345,8.865124200951385
167,708374,233699,0.1,0,1,47.25398604286401,8.86161917614704
168,707661,233458,0.1,0,1,47.25181835351379,8.852259288425964
169,707245,233575,0.1,0,1,47.252870717381946,8.846798241577321
170,706965,234318,0.1,0,1,47.25955367066736,8.843122529370817
171,706442,234032,0.1,0,1,47.2569812297888,8.836256807761513
172,706444,233848,0.1,0,1,47.25532623190897,8.836283062951436
173,705921,233841,0.1,0,1,47.25526327001842,8.82941732026596
174,705196,234214,0.1,0,1,47.258618237829026,8.819899764536093
175,704703,234242,0.1,0,1,47.2588700851551,8.813427803672065
176,703404,233800,0.1,0,1,47.25489449320938,8.796374820491936
177,703013,233247,0.1,0,1,47.24992049997002,8.791241834528314
178,702804,233289,0.1,0,1,47.2502982718429,8.788498110992181
179,702753,232902,0.1,0,1,47.24681737241742,8.787828589442364
180,703762,230811,0.1,0,1,47.22800966610141,8.80107457761831
181,702604,231066,0.1,0,1,47.23030329383618,8.785872535174839
182,698622,229778,0.1,0,1,47.21871821103545,8.733596707474758
183,697174,229020,0.1,0,1,47.211900265561304,8.714587031431508
184,696560,228794,0.1,0,1,47.209867472111334,8.706526253805782
185,696337,228499,0.1,0,1,47.207214045437674,8.703598635830769
186,695875,228701,0.1,0,1,47.20903096830388,8.69753333550505
187,695754,228217,0.1,0,1,47.204677547747266,8.695944802007114
188,695139,228028,0.1,0,1,47.20297755369586,8.687870835036723
189,694170,226608,0.1,0,1,47.190205088210575,8.675149360916558
190,694303,225525,0.1,0,1,47.180463807118656,8.676895449418868
191,694973,224986,0.1,0,1,47.17561564460995,8.68569151588625
192,695030,224730,0.1,0,1,47.17331299026204,8.686439836531996
193,695047,224362,0.1,0,1,47.17000292236287,8.68666301983905
194,693749,223902,0.1,0,1,47.16586533373309,8.669622260768092
195,693050,223915,0.1,0,1,47.165982265642775,8.66044540989088
196,692704,224053,0.1,0,1,47.16722354263346,8.655902922109895
197,692650,225093,0.1,0,1,47.17657808178369,8.655193978201899
198,692002,225163,0.1,0,1,47.177207713456326,8.646686636025578
199,691225,224916,0.1,0,1,47.17498601269091,8.636485665588332
200,691037,225192,0.1,0,1,47.17746856083498,8.634017471090905
201,690529,225234,0.1,0,1,47.17784633976745,8.627348082789014
202,689862,225382,0.1,0,1,47.17917756048725,8.618591202700149
203,690162,226078,0.1,0,1,47.18543788988711,8.622529833034418
204,689580,226984,0.1,0,1,47.19358709715849,8.614888884826954
205,689592,227279,0.1,0,1,47.19624053301731,8.615046430373935
206,689329,227482,0.1,0,1,47.198066455644806,8.611593554989282
207,689147,228267,0.1,0,1,47.205127281500125,8.609204110078464
208,688664,228827,0.1,0,1,47.210164295999874,8.602862880500242
209,688408,228900,0.1,0,1,47.21082090633956,8.599501891435702
210,688231,228664,0.1,0,1,47.20869816566391,8.597178080127733
211,687869,228519,0.1,0,1,47.20739393882845,8.592425420241652
212,687711,228863,0.1,0,1,47.210488103852455,8.590351052251961
213,687807,229315,0.1,0,1,47.21455368903974,8.591611427929232
214,687535,229657,0.1,0,1,47.21762985906827,8.58804036198516
215,687058,229707,0.1,0,1,47.21807959132336,8.581777856310145
216,686662,229487,0.1,0,1,47.216100769009145,8.576578784056535
217,686535,229921,0.1,0,1,47.220004444782205,8.574911402730107
218,686707,230256,0.1,0,1,47.223017648028765,8.577169588219899
219,686237,230372,0.1,0,1,47.22406102531776,8.570998960677692
220,686049,230185,0.1,0,1,47.222379029030726,8.568530705780592
221,686027,230192,0.1,0,1,47.222441991471875,8.568241867297038
222,684961,230452,0.1,0,1,47.22478059569626,8.554246293761645
223,684463,230856,0.1,0,1,47.228414424037396,8.54770799985197
224,684398,230679,0.1,0,1,47.22682237590788,8.546854606951655
225,683677,230712,0.1,0,1,47.22711919849092,8.53738849298615
226,683351,230803,0.1,0,1,47.22793770913051,8.5331083811326
227,683143,230544,0.1,0,1,47.225608101464175,8.530377508854588
